City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Codrington,-38.2667,141.9667,9.33,77,92,3.1,AU,1660209564
Port Lincoln,-34.7333,135.8667,12.47,79,19,8.4,AU,1660209566
Praia da Vitória,38.7333,-27.0667,23.2,78,75,3.19,PT,1660209569
Cedar City,37.6775,-113.0619,18.0,77,40,3.09,US,1660209339
New Norfolk,-42.7826,147.0587,11.72,80,91,0.89,AU,1660209573
Vardø,70.3705,31.1107,13.99,72,0,14.92,NO,1660209575
Okulovka,58.4008,33.2908,21.76,43,12,2.92,RU,1660209577
Kaitangata,-46.2817,169.8464,2.4,89,42,3.04,NZ,1660209580
Grindavik,63.8424,-22.4338,11.26,76,75,5.66,IS,1660209582
Upata,8.0086,-62.3989,22.88,96,95,0.51,VE,1660209584
Yeppoon,-23.1333,150.7333,17.88,83,1,5.12,AU,1660209586
Upernavik,72.7868,-56.1549,4.61,85,100,2.52,GL,1660209588
Alyangula,-13.8483,136.4192,23.81,78,65,4.81,AU,1660209343
Livingston,55.9029,-3.5226,23.4,51,0,1.03,GB,1660209593
Dikson,73.5069,80.5464,5.74,97,100,5.85,RU,1660209595
Dzaoudzi,-12.7887,45.2699,26.94,61,20,6.69,YT,1660209597
Phonhong,18.5007,102.4166,24.76,94,100,0.9,LA,1660209599
Vila Franca do Campo,37.7167,-25.4333,22.89,69,34,3.4,PT,1660209601
Provideniya,64.3833,-173.3,12.72,84,11,1.25,RU,1660209603
Conceição do Araguaia,-8.2578,-49.2647,20.54,63,0,1.14,BR,1660209606
Olafsvik,64.8945,-23.7142,10.44,77,88,5.9,IS,1660209608
Strezhevoy,60.7333,77.5889,22.6,35,8,2.49,RU,1660209610
Port-Gentil,-0.7193,8.7815,25.98,73,75,6.69,GA,1660209612
Alice Springs,-23.7,133.8833,10.75,82,96,2.06,AU,1660209337
Hamilton,39.1834,-84.5333,19.11,96,0,0.0,US,1660209616
Ahipara,-35.1667,173.1667,9.24,86,27,2.76,NZ,1660209619
Shirokiy,49.758,129.523,18.46,83,74,2.13,RU,1660209621
Soyo,-6.1349,12.3689,23.42,71,94,3.53,AO,1660209623
Tsimmerbude,54.675,20.1347,22.03,46,19,0.56,RU,1660209625
Magadan,59.5667,150.8,14.74,93,100,2.38,RU,1660209627
Hambantota,6.1241,81.1185,31.01,59,56,9.97,LK,1660209406
Chapleau,47.8405,-83.4034,7.7,95,1,2.29,CA,1660209632
Yellowknife,62.456,-114.3525,11.29,66,75,3.6,CA,1660209634
Talcahuano,-36.7167,-73.1167,3.82,93,0,1.54,CL,1660209636
Honiara,-9.4333,159.95,26.04,88,77,2.4,SB,1660209638
Ponta do Sol,32.6667,-17.1,24.84,64,22,0.63,PT,1660209640
George Town,5.4112,100.3354,31.64,74,20,5.14,MY,1660209595
Juneau,58.3019,-134.4197,13.95,96,100,0.0,US,1660209645
San Rafael,-34.6177,-68.3301,7.82,49,0,0.87,AR,1660209647
Ulladulla,-35.35,150.4667,13.78,69,100,4.43,AU,1660209649
Te Anau,-45.4167,167.7167,0.16,93,8,0.56,NZ,1660209625
Iqaluit,63.7506,-68.5145,3.85,86,40,2.06,CA,1660209396
Najrān,17.4924,44.1277,38.36,17,85,5.15,SA,1660209656
Noumea,-22.2763,166.4572,22.78,99,62,6.45,NC,1660209494
Maţāy,28.419,30.7792,35.28,21,0,5.9,EG,1660209660
Mukhen,48.1,136.1,18.9,86,100,1.3,RU,1660209662
Taoudenni,22.6783,-3.9836,39.53,11,5,2.27,ML,1660209665
Namatanai,-3.6667,152.4333,26.65,80,89,3.0,PG,1660209667
Kavaratti,10.5669,72.642,27.28,85,64,8.47,IN,1660209669
Aklavik,68.2191,-135.0107,10.68,55,80,2.78,CA,1660209671
Nishihara,26.1842,127.7558,29.6,75,75,4.12,JP,1660209674
Padre Bernardo,-15.35,-48.5,14.7,39,99,2.81,BR,1660209677
Kununurra,-15.7667,128.7333,28.99,24,2,2.06,AU,1660209679
Muncar,-8.4333,114.3333,27.11,80,46,2.51,ID,1660209452
Butaritari,3.0707,172.7902,27.7,72,38,6.47,KI,1660209683
Kuching,1.55,110.3333,33.12,62,40,1.54,MY,1660209571
Chui,-33.6971,-53.4616,8.93,94,23,0.77,UY,1660209688
Myaundzha,63.0494,147.1858,13.04,86,100,1.19,RU,1660209690
Dudinka,69.4058,86.1778,12.57,54,78,3.53,RU,1660209692
Hithadhoo,-0.6,73.0833,28.26,73,25,4.74,MV,1660209463
Ürümqi,43.801,87.6005,24.53,50,0,2.0,CN,1660209696
Trairi,-3.2778,-39.2689,23.73,83,82,4.42,BR,1660209412
Muros,42.7762,-9.0603,20.05,91,97,2.38,ES,1660209701
Coquimbo,-29.9533,-71.3436,9.85,100,100,1.03,CL,1660209703
Gōtsuchō,35.0,132.2167,27.84,81,100,4.46,JP,1660209705
Beloha,-25.1667,45.05,27.57,25,0,5.16,MG,1660209520
Oro Valley,32.3909,-110.9665,25.39,78,100,3.58,US,1660209709
Kawalu,-7.3817,108.2082,25.33,86,75,2.47,ID,1660209452
Yar-Sale,66.8333,70.8333,17.72,44,100,5.36,RU,1660209714
Bengkulu,-3.8004,102.2655,28.5,73,37,2.16,ID,1660209594
Marystown,47.1666,-55.1483,13.81,100,100,4.21,CA,1660209718
Mapiri,-15.25,-68.1667,14.11,99,31,0.39,BO,1660209720
Kabanjahe,3.1001,98.4908,25.43,53,100,1.2,ID,1660209452
Cockburn Town,21.4612,-71.1419,27.5,74,12,7.26,TC,1660209724
Porto Franco,-6.3383,-47.3992,19.25,46,44,0.17,BR,1660209727
Lárdos,36.0942,28.0157,30.9,52,0,1.22,GR,1660209729
Honningsvåg,70.9821,25.9704,12.86,76,75,12.35,NO,1660209732
Samarai,-10.6167,150.6667,26.08,79,100,7.34,PG,1660209734
Jalu,29.0331,21.5482,32.49,23,0,5.02,LY,1660209736
Serov,59.6033,60.5787,17.93,92,100,3.49,RU,1660209738
Rio Claro,-22.4114,-47.5614,11.65,76,88,2.93,BR,1660209740
Mombetsu,44.3525,143.3525,21.57,77,80,1.58,JP,1660209681
Mackay,-21.15,149.2,17.6,78,74,6.19,AU,1660209510
Nome,64.5011,-165.4064,10.04,93,100,2.06,US,1660209747
Barra Patuca,15.8,-84.2833,25.92,86,45,3.56,HN,1660209749
Lumberton,34.6182,-79.0086,26.05,84,23,2.7,US,1660209751
Bose,45.4612,8.0137,27.23,53,9,2.11,IT,1660209753
El Alto,-4.2714,-81.2147,16.46,83,76,5.5,PE,1660209756
Cap Malheureux,-19.9842,57.6142,21.93,64,56,6.26,MU,1660209758
Kosh-Agach,50.0,88.6667,20.52,39,76,2.82,RU,1660209760
Marzuq,14.4,46.4667,29.74,49,78,3.86,YE,1660209762
Sabha,27.0377,14.4283,33.38,21,0,3.59,LY,1660209764
Fukuechō,32.6881,128.8419,29.2,84,75,4.12,JP,1660209767
Balkhash,46.844,74.9804,25.34,47,20,7.0,KZ,1660209769
Vangaindrano,-23.35,47.6,21.72,67,94,3.21,MG,1660209520
Ulety,51.3572,112.4849,24.81,29,28,2.51,RU,1660209774
Myanaung,18.2833,95.3167,30.38,65,90,2.42,MM,1660209524
Nanortalik,60.1432,-45.2371,6.89,99,100,1.15,GL,1660209779
Price,39.5994,-110.8107,22.29,60,100,6.69,US,1660209781
San Quintín,30.4833,-115.95,21.81,84,65,3.64,MX,1660209783
Kamenka,51.3223,42.7678,33.77,22,100,5.63,RU,1660209785
Mahébourg,-20.4081,57.7,22.16,64,75,7.2,MU,1660209787
Barguzin,53.6167,109.6167,22.14,42,78,3.92,RU,1660209789
Isangel,-19.55,169.2667,20.06,68,40,2.06,VU,1660209792
Mwingi,-0.9344,38.0601,25.74,40,75,5.19,KE,1660209794
Necochea,-38.5473,-58.7368,5.67,76,0,5.87,AR,1660209796
Mendota,36.7536,-120.3816,21.15,51,0,3.98,US,1660209798
Iranshahr,27.2025,60.6848,44.19,13,0,6.17,IR,1660209800
Gorgan,36.8387,54.4348,33.98,46,20,3.09,IR,1660209803
Lomovka,53.9194,58.3672,26.17,46,30,3.74,RU,1660209805
Hakkâri Province,37.5833,44.1667,31.88,11,0,2.57,TR,1660209807
Coos Bay,43.3665,-124.2179,15.13,100,100,1.54,US,1660209809
Yelizovo,53.1873,158.3805,15.08,82,0,2.0,RU,1660209811
Gillette,44.2911,-105.5022,24.51,39,0,6.69,US,1660209814
Geraldton,-28.7667,114.6,18.23,59,0,3.6,AU,1660209613
Simbahan,6.3032,120.5836,28.69,73,90,2.33,PH,1660209818
Harindānga,22.0383,88.3214,26.23,89,100,3.98,IN,1660209820
Bintulu,3.1667,113.0333,33.23,66,20,3.09,MY,1660209556
Caucayá,-0.1934,-74.7819,20.06,99,89,1.17,CO,1660209825
Lebanon,36.2081,-86.2911,23.42,93,75,0.0,US,1660209827
Kloulklubed,7.0419,134.2556,26.28,66,58,1.4,PW,1660209829
Gizo Government Station,-8.103,156.8419,27.27,77,100,1.28,SB,1660209832
Airai,-8.9266,125.4092,16.59,93,100,0.86,TL,1660209834
Nanton,50.3501,-113.7687,17.93,54,99,2.82,CA,1660209837
Valparaíso,-33.0393,-71.6273,10.26,99,100,2.06,CL,1660209839
Karratha,-20.7377,116.8463,25.04,23,0,4.97,AU,1660209841
Jacareacanga,-6.2222,-57.7528,19.94,77,43,0.84,BR,1660209843
Sur,22.5667,59.5289,35.69,50,100,2.12,OM,1660209846
Wilmington,34.2257,-77.9447,27.14,81,0,4.12,US,1660209848
Maragogi,-9.0122,-35.2225,21.24,90,30,1.43,BR,1660209850
Valera,9.3178,-70.6036,22.43,73,96,2.03,VE,1660209852
Majene,-3.5403,118.9707,27.74,73,41,3.37,ID,1660209855
Palmer,42.1584,-72.3287,19.99,82,100,1.54,US,1660209857
Inírida,3.8653,-67.9239,21.72,99,63,0.6,CO,1660209859
Emba,48.8264,58.1442,31.29,25,0,5.55,KZ,1660209861
Lata,40.1629,-8.3327,23.92,53,0,1.03,PT,1660209863
Ndungu,-4.3667,38.05,27.53,44,57,2.37,TZ,1660209866
Tanout,14.9709,8.8879,29.13,55,100,6.82,NE,1660209868
Bandarbeyla,9.4942,50.8122,29.69,57,100,12.69,SO,1660209870
Tasiilaq,65.6145,-37.6368,3.09,75,99,1.02,GL,1660209872
Winder,33.9926,-83.7202,22.56,95,0,0.0,US,1660209874
Boa Vista,2.8197,-60.6733,25.99,83,0,2.06,BR,1660209876
Sungai Penuh,-2.0833,101.3833,22.72,88,85,1.01,ID,1660209879
Marabba,12.35,32.1833,29.74,59,89,6.53,SD,1660209881
Nizhniy Lomov,53.5304,43.6766,25.77,55,100,4.69,RU,1660209884
Torbay,47.6666,-52.7314,14.04,90,100,4.12,CA,1660209886
Mar del Plata,-38.0023,-57.5575,8.26,94,0,3.58,AR,1660209888
Castro,-24.7911,-50.0119,6.0,97,59,1.81,BR,1660209890
Yulara,-25.2406,130.9889,15.1,23,0,3.88,AU,1660209892
Boshnyakovo,49.6333,142.1667,16.65,79,39,2.48,RU,1660209607
Marsh Harbour,26.5412,-77.0636,27.83,73,4,5.29,BS,1660209897
Altay,47.8667,88.1167,30.51,20,3,6.45,CN,1660209899
São João da Barra,-21.6403,-41.0511,20.05,43,79,5.37,BR,1660209901
Wuzhou,23.4833,111.3167,27.43,89,98,2.07,CN,1660209903
Muromtsevo,56.3724,75.2418,26.71,51,25,3.62,RU,1660209905
Tuy Hoa,13.0833,109.3,31.1,65,97,2.32,VN,1660209908
Qandala,11.472,49.8728,34.9,43,84,3.07,SO,1660209910
Agirish,61.9247,63.0231,15.58,92,100,2.71,RU,1660209912
Bulgan,48.8125,103.5347,20.96,55,100,1.44,MN,1660209914
Husavik,66.0449,-17.3389,9.83,77,100,0.41,IS,1660209916
Kindia,10.0569,-12.8658,22.58,96,100,1.39,GN,1660209918
Constitución,-35.3333,-72.4167,7.9,83,0,2.58,CL,1660209921
Mbini,1.574,9.6134,26.91,78,100,4.71,GQ,1660209923
Souillac,-20.5167,57.5167,22.21,64,75,7.2,MU,1660209925
Kropotkin,45.4375,40.5756,35.19,25,23,7.28,RU,1660209927
Barra do Garças,-15.89,-52.2567,12.11,49,100,1.17,BR,1660209929
Ambositra,-20.5167,47.25,15.71,60,40,5.49,MG,1660209932
Arlit,18.7369,7.3853,35.9,29,84,1.29,NE,1660209934
Charters Towers,-20.1,146.2667,17.89,68,19,5.93,AU,1660209936
Matagami,49.7502,-77.6328,11.06,93,100,3.6,CA,1660209939
Pochutla,15.7432,-96.4661,24.9,91,100,1.45,MX,1660209941
Meulaboh,4.1363,96.1285,28.89,65,99,2.3,ID,1660209943
San Policarpo,12.1791,125.5072,28.67,75,32,1.19,PH,1660209946
Klaksvík,62.2266,-6.589,11.51,78,100,5.27,FO,1660209948
Inhambane,-23.865,35.3833,25.63,55,0,3.5,MZ,1660209950
Agadez,19.75,10.25,36.56,11,0,7.3,NE,1660209952
Batemans Bay,-35.7167,150.1833,12.83,66,100,4.16,AU,1660209955
Paamiut,61.994,-49.6678,5.88,96,100,4.37,GL,1660209957
Port Hedland,-20.3167,118.5667,24.03,50,100,3.6,AU,1660209960
Waingapu,-9.6567,120.2641,27.84,71,18,5.67,ID,1660209962
Jinzhou,41.1078,121.1417,28.53,62,7,3.16,CN,1660209964
Avera,33.194,-82.5271,21.73,82,100,2.21,US,1660209966
Mattoon,39.4831,-88.3728,17.57,94,0,1.54,US,1660209969
Zhaotong,27.3167,103.7167,23.77,68,98,4.41,CN,1660209971
Nikolayevka,53.1257,47.2041,27.88,51,94,3.52,RU,1660209973
Cap-aux-Meules,47.3821,-61.8597,17.03,94,100,4.63,CA,1660209975
Seidu,9.0167,-10.6,20.92,97,100,1.85,SL,1660209978
Flinders,-34.5833,150.8552,15.21,73,100,0.45,AU,1660209980
Digby,44.6169,-65.7655,15.65,91,91,1.97,CA,1660209983
Stony Plain,53.5334,-114.0021,17.51,94,20,0.0,CA,1660209985
Fazilka,30.4,74.0333,35.8,48,49,6.57,IN,1660209987
Basco,20.4487,121.9702,29.21,69,66,1.18,PH,1660209989
Sayyan,15.1718,44.3244,23.95,36,16,1.79,YE,1660209992
Half Moon Bay,37.4636,-122.4286,18.27,86,100,7.2,US,1660209994
Omboué,-1.5746,9.2618,24.83,72,100,3.57,GA,1660209996
Qeshm,26.9581,56.2719,38.94,69,1,5.45,IR,1660209999
Leshukonskoye,64.8989,45.7622,19.45,49,100,4.66,RU,1660210001
Hobyo,5.3505,48.5268,28.03,61,54,13.07,SO,1660210003
College,64.8569,-147.8028,8.97,81,20,3.09,US,1660210005
Oranjemund,-28.55,16.4333,15.04,66,100,3.42,NA,1660210007
Ilulissat,69.2167,-51.1,5.01,87,75,0.0,GL,1660210010
Lichuan,30.3,108.85,27.48,63,69,2.87,CN,1660210012
Kharan,28.5833,65.4167,38.95,21,2,4.56,PK,1660210014
Bilma,18.6853,12.9164,37.78,10,31,6.87,NE,1660210016
Auki,-8.7676,160.7034,25.59,86,78,1.8,SB,1660210018
Chumikan,54.7183,135.315,12.53,95,100,3.39,RU,1660210020
Maniitsoq,65.4167,-52.9,5.55,85,100,3.67,GL,1660210023
Haines Junction,60.7522,-137.5108,8.25,95,98,0.68,CA,1660210025
Vallenar,-28.5708,-70.7581,15.26,38,100,1.07,CL,1660210027
Yinchuan,38.4681,106.2731,33.92,38,47,2.33,CN,1660210029
Monrovia,6.3005,-10.7969,23.87,87,97,4.42,LR,1660210031
San Luis,-33.295,-66.3356,7.2,55,0,1.18,AR,1660210033
Wahiawā,21.5028,-158.0236,25.18,70,100,1.54,US,1660210036
Port Macquarie,-31.4333,152.9167,13.27,76,96,4.29,AU,1660209817
Gravdal,68.1214,13.5031,10.94,87,75,3.09,NO,1660210040
Lerwick,60.1545,-1.1494,13.0,97,100,3.22,GB,1660210042
Puerto del Rosario,28.5004,-13.8627,24.86,65,75,6.69,ES,1660210044
Nzérékoré,7.7562,-8.8179,21.17,98,100,1.25,GN,1660210047
Ostrołęka,53.0862,21.5757,24.4,52,2,3.93,PL,1660210049
Puerto Escondido,15.85,-97.0667,25.36,88,100,2.63,MX,1660210051
Muroto-misakicho,33.2833,134.15,29.04,75,92,2.47,JP,1660209931
Xining,36.6167,101.7667,28.22,50,90,2.66,CN,1660210055
Dul'durga,50.6761,113.5931,23.23,32,57,1.53,RU,1660210057
Pringsewu,-5.3582,104.9744,29.88,71,59,0.98,ID,1660210048
Hualmay,-11.0964,-77.6139,15.61,86,91,2.49,PE,1660210062
Itarema,-2.9248,-39.9167,22.95,86,81,4.62,BR,1660210064
Sola,-13.8833,167.55,25.37,83,100,10.29,VU,1660210066
Sibolga,1.7427,98.7792,29.27,63,51,2.33,ID,1660210068
Sinnamary,5.3833,-52.95,24.44,89,48,2.61,GF,1660210070
Lorengau,-2.0226,147.2712,26.99,78,39,1.45,PG,1660210072
Alofi,-19.0595,-169.9187,23.94,83,10,3.09,NU,1660210075
Hoi An,15.8794,108.335,29.98,76,100,2.98,VN,1660209818
Salt,32.0392,35.7272,27.6,45,2,3.37,JO,1660210079
Charter Township of Clinton,42.587,-82.9199,20.68,72,75,3.6,US,1660210081
Padang,-0.9492,100.3543,30.03,71,67,2.65,ID,1660210022
Tyrma,50.0833,132.1667,16.59,85,99,0.57,RU,1660210086
Sinazongwe,-17.2614,27.4618,23.95,44,0,3.74,ZM,1660210088
Coahuayana Viejo,18.7333,-103.6833,24.91,87,100,1.33,MX,1660210090
Poli,-3.3333,36.8,18.85,57,91,3.93,TZ,1660210092
Nyaunglebin,17.95,96.7333,26.8,88,96,2.88,MM,1660210095
Pisco,-13.7,-76.2167,15.03,88,100,1.54,PE,1660210097
Tinaquillo,9.9186,-68.3047,20.12,97,97,0.39,VE,1660210099
Miranda,3.2499,-76.2281,18.07,84,54,2.14,CO,1660210101
Gerāsh,27.6652,54.1371,42.08,16,10,1.09,IR,1660210103
Berdigestyakh,62.0989,126.6992,22.12,60,54,2.33,RU,1660210106
Mandalgovi,45.7625,106.2708,24.2,35,100,4.66,MN,1660210108
Zalari,53.5584,102.5065,21.47,53,41,4.59,RU,1660210110
Abnūb,27.2696,31.1511,36.43,20,0,7.39,EG,1660210112
Tagusao,9.1924,117.8141,28.43,77,99,0.57,PH,1660210114
